seed,method,target_fraction,n_targeted,n_treated,n_control,uplift,uplift_ci95_low,uplift_ci95_high,incremental_conversions_per_10000,incremental_conversions_per_10000_ci95_low,incremental_conversions_per_10000_ci95_high,cumulative_gain,auuc,qini,train_index_hash,test_index_hash
42,t_learner,0.05,2500,1374,1126,0.141527117413,0.103678308914,0.183148118703,1415.27117413,1036.78308914,1831.48118703,353.817793532,0.00931656886885,0.00642484880018,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,t_learner,0.1,5001,2654,2347,0.0740716956887,0.0470699018035,0.0994376408948,740.716956887,470.699018035,994.376408948,370.432550139,0.00931656886885,0.00642484880018,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,t_learner,0.2,10002,5113,4889,0.0666325378618,0.0473633768027,0.0866770577903,666.325378618,473.633768027,866.770577903,666.458643693,0.00931656886885,0.00642484880018,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,t_learner,0.3,15003,7585,7418,0.0577222324219,0.0437284172921,0.0723661476218,577.222324219,437.284172921,723.661476218,866.006653025,0.00931656886885,0.00642484880018,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,t_learner,0.5,25005,12577,12428,0.0407765473982,0.0290575726201,0.0528924482094,407.765473982,290.575726201,528.924482094,1019.61756769,0.00931656886885,0.00642484880018,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,x_learner,0.05,2500,1399,1101,0.171464761063,0.131397994805,0.211604548857,1714.64761063,1313.97994805,2116.04548857,428.661902657,0.0178997732919,0.0121877271687,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,x_learner,0.1,5001,2641,2360,0.104271462402,0.077629429017,0.132921398385,1042.71462402,776.29429017,1329.21398385,521.461583472,0.0178997732919,0.0121877271687,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,x_learner,0.2,10002,5098,4904,0.083994171018,0.0649825932122,0.103348704703,839.94171018,649.825932122,1033.48704703,840.109698522,0.0178997732919,0.0121877271687,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,x_learner,0.3,15003,7616,7387,0.0622575338176,0.0464663895586,0.078754672642,622.575338176,464.663895586,787.54672642,934.049779866,0.0178997732919,0.0121877271687,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,x_learner,0.5,25005,12595,12410,0.0496282083722,0.0375407651246,0.0616122281299,496.282083722,375.407651246,616.122281299,1240.95335035,0.0178997732919,0.0121877271687,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,dr_learner,0.05,2500,1471,1029,0.208172382287,0.169602945578,0.244825799602,2081.72382287,1696.02945578,2448.25799602,520.430955717,0.0197964344709,0.0138987734026,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,dr_learner,0.1,5001,2713,2288,0.137938706152,0.111030244981,0.16482407371,1379.38706152,1110.30244981,1648.2407371,689.831469466,0.0197964344709,0.0138987734026,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
42,dr_learner,0.2,10002,5148,4854,0.0797261384406,0.060224967657,0.0985623084511,797.261384406,602.24967657,985.623084511,797.420836683,0.0197964344709,0.0138987734026,60e0a75702b796368e71e0b1d3aba6e43c0a19c3ccae3eae7ff048123574ce10,af119f97bab50616848d220b6397d14a930254493084a96a1a7d9b98eaf92a88
