method,kpi,factual_r2,factual_mae,counterfactual_mae,counterfactual_normalized_mae,ite_mae,ite_sign_accuracy,ite_rank_correlation,segment_cate_r2
global_mean,impressions,-0.0527861521216,138.853125062,201.712608277,0.721141342295,73.08645,0,,-0.537094256891
global_mean,clicks,-0.033865958683,1.54216748184,2.22688074927,0.70319589152,1.09265,0,,-0.492174686747
global_mean,conversions,-0.000171188427882,0.0189114057079,0.0282389446252,1.35764156845,0.01335,0,,-0.714587085658
global_mean,revenue,-0.0381243451614,2.9272065083,4.48293044615,0.740543257309,3.412475,0,,-0.420403162063
arm_mean,impressions,0.408647379908,81.5387253495,436.774942023,1.56151105606,408.943240373,0.134579439252,-0.722068437299,-5.76675113166
arm_mean,clicks,0.363670856833,1.09573205189,4.65081219136,1.46861569766,4.40684046072,0.403719912473,-0.457447512116,-5.17611342579
arm_mean,conversions,0.244833090579,0.0135262988575,0.0529010160183,2.54331807768,0.054605302178,0.099173553719,-0.487314414144,-5.1870904866
arm_mean,revenue,0.253447520336,2.37278010688,8.15678532548,1.34743388207,8.0297374084,0.444889779559,-0.299071140218,-2.36697496924
lightgbm_substitution,impressions,0.963771220017,18.2391298297,61.1360188112,0.218566955455,63.4560956856,0.955140186916,0.544410972248,0.456861303001
lightgbm_substitution,clicks,0.892324397264,0.477060521017,0.809639929397,0.255665002336,0.919894666253,0.616520787746,0.428730998031,0.354748021168
lightgbm_substitution,conversions,0.762070850268,0.00548559896814,0.0121002291996,0.581741788416,0.0138431122659,0.929752066116,0.44969442526,0.531207767125
lightgbm_substitution,revenue,0.666818539471,1.72890340225,2.65695726331,0.438907498106,3.23031801445,0.551603206413,0.233340017239,0.00327872345801
t_learner,impressions,0.963772015607,18.3738228406,898.643959079,3.21273576516,898.010156049,0.134579439252,-0.570375052598,-45.960823206
t_learner,clicks,0.890629150377,0.483439012194,8.79050889121,2.77583329898,8.75758951516,0.403719912473,-0.359605942242,-35.845420177
t_learner,conversions,0.766581150749,0.00548199954117,0.0990224801916,4.76069616283,0.100661766762,0.099173553719,-0.400773858887,-28.0684453204
t_learner,revenue,0.65041719085,1.76772822182,14.5970712089,2.41131616698,14.7816581607,0.444889779559,-0.253067948697,-13.2877588599
causal_forest_dml,impressions,-1.71961468422e+13,31207479.2958,303246109.541,1084133.05617,334440317.649,0.805607476636,0.406496679266,-2.6667652068e+13
causal_forest_dml,clicks,-5.50561990061e+21,5814942759.09,4406506.1119,1391469.65767,5819349262.23,0.526258205689,-0.0626815613514,-1.57076549077e+20
causal_forest_dml,conversions,-31565773.5045,8.47597409696,0.435916981722,20.9575471971,8.90059107868,0.0371900826446,-0.333194859153,-3350943.35653
causal_forest_dml,revenue,-3.35619370185e+48,2.95467895224e+23,5.90501160027e+30,9.75459373604e+29,5.90501189574e+30,0.526553106212,-0.035954615503,-2.07869965308e+61
